From	To	Species	Gene Name
Q9Y2Q0	10396	Homo sapiens	ATPase phospholipid transporting 8A1(ATP8A1)
Q9Y216	9108	Homo sapiens	myotubularin related protein 7(MTMR7)
P49368	7203	Homo sapiens	chaperonin containing TCP1 subunit 3(CCT3)
Q15436	10484	Homo sapiens	Sec23 homolog A, coat complex II component(SEC23A)
Q15435	5510	Homo sapiens	protein phosphatase 1 regulatory subunit 7(PPP1R7)
Q99615	7266	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C7(DNAJC7)
Q6ZSM3	387700	Homo sapiens	solute carrier family 16 member 12(SLC16A12)
Q99614	7265	Homo sapiens	tetratricopeptide repeat domain 1(TTC1)
P48634	7916	Homo sapiens	proline rich coiled-coil 2A(PRRC2A)
P62330	382	Homo sapiens	ADP ribosylation factor 6(ARF6)
P62333	5706	Homo sapiens	proteasome 26S subunit, ATPase 6(PSMC6)
Q99613	8663	Homo sapiens	eukaryotic translation initiation factor 3 subunit C(EIF3C)
Q8N371	79831	Homo sapiens	lysine demethylase 8(KDM8)
Q8IUQ4	6477	Homo sapiens	siah E3 ubiquitin protein ligase 1(SIAH1)
Q9H3S7	25930	Homo sapiens	protein tyrosine phosphatase, non-receptor type 23(PTPN23)
Q9Y230	10856	Homo sapiens	RuvB like AAA ATPase 2(RUVBL2)
O43847	4898	Homo sapiens	nardilysin convertase(NRDC)
Q9UBP0	6683	Homo sapiens	spastin(SPAST)
P32297	1136	Homo sapiens	cholinergic receptor nicotinic alpha 3 subunit(CHRNA3)
Q9Y2T5	9293	Homo sapiens	G protein-coupled receptor 52(GPR52)
P25054	324	Homo sapiens	APC, WNT signaling pathway regulator(APC)
Q9NYT6	7769	Homo sapiens	zinc finger protein 226(ZNF226)
Q5JTH9	23223	Homo sapiens	ribosomal RNA processing 12 homolog(RRP12)
P38935	3508	Homo sapiens	immunoglobulin mu binding protein 2(IGHMBP2)
Q9NZ52	23163	Homo sapiens	golgi associated, gamma adaptin ear containing, ARF binding protein 3(GGA3)
Q8WUA4	2976	Homo sapiens	general transcription factor IIIC subunit 2(GTF3C2)
Q05639	1917	Homo sapiens	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)
Q86UK7	90850	Homo sapiens	zinc finger protein 598(ZNF598)
P46459	4905	Homo sapiens	N-ethylmaleimide sensitive factor, vesicle fusing ATPase(NSF)
O43837	3420	Homo sapiens	isocitrate dehydrogenase 3 (NAD(+)) beta(IDH3B)
Q8WYA6	56259	Homo sapiens	catenin beta like 1(CTNNBL1)
Q8N999	91298	Homo sapiens	chromosome 12 open reading frame 29(C12orf29)
Q9Y2T2	26985	Homo sapiens	adaptor related protein complex 3 mu 1 subunit(AP3M1)
Q9H3R1	64579	Homo sapiens	N-deacetylase and N-sulfotransferase 4(NDST4)
P24863	892	Homo sapiens	cyclin C(CCNC)
O60683	5192	Homo sapiens	peroxisomal biogenesis factor 10(PEX10)
P20645	4074	Homo sapiens	mannose-6-phosphate receptor, cation dependent(M6PR)
Q9Y345	9152	Homo sapiens	solute carrier family 6 member 5(SLC6A5)
O60684	23633	Homo sapiens	karyopherin subunit alpha 6(KPNA6)
Q9Y2S2	51084	Homo sapiens	crystallin lambda 1(CRYL1)
O60688	29799	Homo sapiens	yippee like 1(YPEL1)
Q9Y2S7	26073	Homo sapiens	DNA polymerase delta interacting protein 2(POLDIP2)
Q96DV4	64978	Homo sapiens	mitochondrial ribosomal protein L38(MRPL38)
Q07890	6655	Homo sapiens	SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)
O00159	4641	Homo sapiens	myosin IC(MYO1C)
Q9NZ43	55850	Homo sapiens	unconventional SNARE in the ER 1(USE1)
O00170	9049	Homo sapiens	aryl hydrocarbon receptor interacting protein(AIP)
Q8N766	23065	Homo sapiens	ER membrane protein complex subunit 1(EMC1)
Q9Y6U7	200312	Homo sapiens	ring finger protein 215(RNF215)
Q9GZR5	6785	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
O43822	755	Homo sapiens	chromosome 21 open reading frame 2(C21orf2)
O15409	93986	Homo sapiens	forkhead box P2(FOXP2)
Q9UMX1	51684	Homo sapiens	SUFU negative regulator of hedgehog signaling(SUFU)
Q9UMX0	29979	Homo sapiens	ubiquilin 1(UBQLN1)
O43826	2542	Homo sapiens	solute carrier family 37 member 4(SLC37A4)
Q8IZC4	219790	Homo sapiens	rhotekin 2(RTKN2)
Q9H425	84886	Homo sapiens	chromosome 1 open reading frame 198(C1orf198)
P15374	7347	Homo sapiens	ubiquitin C-terminal hydrolase L3(UCHL3)
O60678	10196	Homo sapiens	protein arginine methyltransferase 3(PRMT3)
P30041	9588	Homo sapiens	peroxiredoxin 6(PRDX6)
Q9Y243	10000	Homo sapiens	AKT serine/threonine kinase 3(AKT3)
Q9Y375	51103	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 1(NDUFAF1)
P30047	2644	Homo sapiens	GTP cyclohydrolase I feedback regulator(GCHFR)
Q9UBR4	8022	Homo sapiens	LIM homeobox 3(LHX3)
Q9Y2V7	57511	Homo sapiens	component of oligomeric golgi complex 6(COG6)
Q9NZ32	55860	Homo sapiens	actin-related protein 10 homolog(ACTR10)
P08240	6734	Homo sapiens	SRP receptor alpha subunit(SRPRA)
Q9BW27	79902	Homo sapiens	nucleoporin 85(NUP85)
Q8IV36	283987	Homo sapiens	HID1 domain containing(HID1)
Q53HC5	55295	Homo sapiens	kelch like family member 26(KLHL26)
Q8N6T7	51548	Homo sapiens	sirtuin 6(SIRT6)
Q9GZS1	64425	Homo sapiens	RNA polymerase I subunit E(POLR1E)
Q9H3P7	64746	Homo sapiens	acyl-CoA binding domain containing 3(ACBD3)
O00180	3775	Homo sapiens	potassium two pore domain channel subfamily K member 1(KCNK1)
Q9GZS3	80349	Homo sapiens	WD repeat domain 61(WDR61)
Q53HC9	7260	Homo sapiens	tumor suppressing subtransferable candidate 1(TSSC1)
O75909	8812	Homo sapiens	cyclin K(CCNK)
P49327	2194	Homo sapiens	fatty acid synthase(FASN)
Q13501	8878	Homo sapiens	sequestosome 1(SQSTM1)
Q9Y371	51100	Homo sapiens	SH3 domain containing GRB2 like endophilin B1(SH3GLB1)
Q53HC0	80212	Homo sapiens	coiled-coil domain containing 92(CCDC92)
Q9Y263	9373	Homo sapiens	phospholipase A2 activating protein(PLAA)
Q49A26	84656	Homo sapiens	glyoxylate reductase 1 homolog(GLYR1)
P30040	10961	Homo sapiens	endoplasmic reticulum protein 29(ERP29)
Q9H0E9	10902	Homo sapiens	bromodomain containing 8(BRD8)
Q9UN86	9908	Homo sapiens	G3BP stress granule assembly factor 2(G3BP2)
Q9Y2U9	23588	Homo sapiens	kelch domain containing 2(KLHDC2)
Q9Y2U8	23592	Homo sapiens	LEM domain containing 3(LEMD3)
Q8TD30	84706	Homo sapiens	glutamic--pyruvic transaminase 2(GPT2)
Q9UBQ7	9380	Homo sapiens	glyoxylate and hydroxypyruvate reductase(GRHPR)
Q6UWP2	79154	Homo sapiens	dehydrogenase/reductase 11(DHRS11)
P30038	8659	Homo sapiens	aldehyde dehydrogenase 4 family member A1(ALDH4A1)
Q68EA5	126295	Homo sapiens	zinc finger protein 57(ZNF57)
O00178	9567	Homo sapiens	GTP binding protein 1(GTPBP1)
O14730	8780	Homo sapiens	RIO kinase 3(RIOK3)
Q6UWP7	253558	Homo sapiens	lysocardiolipin acyltransferase 1(LCLAT1)
O14735	10423	Homo sapiens	CDP-diacylglycerol--inositol 3-phosphatidyltransferase(CDIPT)
O14734	10005	Homo sapiens	acyl-CoA thioesterase 8(ACOT8)
Q9Y272	51655	Homo sapiens	ras related dexamethasone induced 1(RASD1)
Q9BQA1	79084	Homo sapiens	WD repeat domain 77(WDR77)
Q8N335	23171	Homo sapiens	glycerol-3-phosphate dehydrogenase 1-like(GPD1L)
Q9H0D6	22803	Homo sapiens	5'-3' exoribonuclease 2(XRN2)
Q86YW9	116931	Homo sapiens	mediator complex subunit 12 like(MED12L)
Q5HYK7	152503	Homo sapiens	SH3 domain containing 19(SH3D19)
Q8NB90	166378	Homo sapiens	spermatogenesis associated 5(SPATA5)
P78362	6733	Homo sapiens	SRSF protein kinase 2(SRPK2)
Q9UMZ2	11276	Homo sapiens	synergin gamma(SYNRG)
Q9Y6W3	23473	Homo sapiens	calpain 7(CAPN7)
Q86UF1	340348	Homo sapiens	tetraspanin 33(TSPAN33)
Q9BQA9	79415	Homo sapiens	chromosome 17 open reading frame 62(C17orf62)
Q8N6S4	81573	Homo sapiens	ankyrin repeat domain 13C(ANKRD13C)
Q9BZE4	23560	Homo sapiens	GTP binding protein 4(GTPBP4)
P09327	7429	Homo sapiens	villin 1(VIL1)
Q9BQA5	25988	Homo sapiens	histone H4 transcription factor(HINFP)
Q9UBT7	8727	Homo sapiens	catenin alpha like 1(CTNNAL1)
Q9BZE9	79058	Homo sapiens	ASPSCR1, UBX domain containing tether for SLC2A4(ASPSCR1)
Q58WW2	55827	Homo sapiens	DDB1 and CUL4 associated factor 6(DCAF6)
Q96E29	51001	Homo sapiens	mitochondrial transcription termination factor 3(MTERF3)
Q9Y2X7	28964	Homo sapiens	GIT ArfGAP 1(GIT1)
Q9H0E3	79595	Homo sapiens	Sin3A associated protein 130(SAP130)
P78356	8396	Homo sapiens	phosphatidylinositol-5-phosphate 4-kinase type 2 beta(PIP4K2B)
Q9NP58	10058	Homo sapiens	ATP binding cassette subfamily B member 6 (Langereis blood group)(ABCB6)
Q9H0E2	54472	Homo sapiens	toll interacting protein(TOLLIP)
Q9UBT6	51426	Homo sapiens	DNA polymerase kappa(POLK)
Q9Y399	51116	Homo sapiens	mitochondrial ribosomal protein S2(MRPS2)
O75204	55654	Homo sapiens	transmembrane protein 127(TMEM127)
Q8N8U2	124359	Homo sapiens	chromodomain Y-like 2(CDYL2)
Q9Y265	8607	Homo sapiens	RuvB like AAA ATPase 1(RUVBL1)
P25098	156	Homo sapiens	G protein-coupled receptor kinase 2(GRK2)
Q9H477	64080	Homo sapiens	ribokinase(RBKS)
Q9Y285	2193	Homo sapiens	phenylalanyl-tRNA synthetase alpha subunit(FARSA)
P00915	759	Homo sapiens	carbonic anhydrase 1(CA1)
Q9Y282	51614	Homo sapiens	ERGIC and golgi 3(ERGIC3)
Q5VW32	148362	Homo sapiens	BRO1 domain and CAAX motif containing(BROX)
Q9H8H0	25926	Homo sapiens	nucleolar protein 11(NOL11)
Q6AI39	23506	Homo sapiens	GLTSCR1 like(GLTSCR1L)
Q9Y6X9	22880	Homo sapiens	MORC family CW-type zinc finger 2(MORC2)
Q9BVS4	55781	Homo sapiens	RIO kinase 2(RIOK2)
Q8NFI3	64772	Homo sapiens	endo-beta-N-acetylglucosaminidase(ENGASE)
O95299	4705	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A10(NDUFA10)
Q8TCT0	64781	Homo sapiens	ceramide kinase(CERK)
F5GYI3	390595	Homo sapiens	ubiquitin associated protein 1 like(UBAP1L)
Q9Y6Y0	10625	Homo sapiens	influenza virus NS1A binding protein(IVNS1ABP)
Q8TCT7	56928	Homo sapiens	signal peptide peptidase like 2B(SPPL2B)
Q8TCT6	121665	Homo sapiens	signal peptide peptidase like 3(SPPL3)
Q9Y2W6	11022	Homo sapiens	tudor and KH domain containing(TDRKH)
O60645	11336	Homo sapiens	exocyst complex component 3(EXOC3)
P21673	6303	Homo sapiens	spermidine/spermine N1-acetyltransferase 1(SAT1)
Q658Y4	157769	Homo sapiens	family with sequence similarity 91 member A1(FAM91A1)
Q9Y295	4733	Homo sapiens	developmentally regulated GTP binding protein 1(DRG1)
Q9H467	79004	Homo sapiens	CUE domain containing 2(CUEDC2)
Q9Y297	8945	Homo sapiens	beta-transducin repeat containing E3 ubiquitin protein ligase(BTRC)
O95671	8623	Homo sapiens	acetylserotonin O-methyltransferase-like(ASMTL)
O60637	10099	Homo sapiens	tetraspanin 3(TSPAN3)
Q96M27	133619	Homo sapiens	proline rich coiled-coil 1(PRRC1)
Q9Y6Y8	11196	Homo sapiens	SEC23 interacting protein(SEC23IP)
Q8IV01	91683	Homo sapiens	synaptotagmin 12(SYT12)
O95674	8760	Homo sapiens	CDP-diacylglycerol synthase 2(CDS2)
Q8NB78	221656	Homo sapiens	lysine demethylase 1B(KDM1B)
Q9UG63	10061	Homo sapiens	ATP binding cassette subfamily F member 2(ABCF2)
Q9BZC7	20	Homo sapiens	ATP binding cassette subfamily A member 2(ABCA2)
P27708	790	Homo sapiens	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase(CAD)
Q9Y287	9445	Homo sapiens	integral membrane protein 2B(ITM2B)
Q9UBV2	6400	Homo sapiens	SEL1L ERAD E3 ligase adaptor subunit(SEL1L)
Q7Z698	200734	Homo sapiens	sprouty related EVH1 domain containing 2(SPRED2)
Q9Y2Z9	51004	Homo sapiens	coenzyme Q6, monooxygenase(COQ6)
Q9H3U1	55898	Homo sapiens	unc-45 myosin chaperone A(UNC45A)
Q9UBV8	553115	Homo sapiens	penta-EF-hand domain containing 1(PEF1)
Q86YT6	57534	Homo sapiens	mindbomb E3 ubiquitin protein ligase 1(MIB1)
Q01518	10487	Homo sapiens	adenylate cyclase associated protein 1(CAP1)
Q9Y2Z0	10910	Homo sapiens	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone(SUGT1)
P52888	7064	Homo sapiens	thimet oligopeptidase 1(THOP1)
Q05655	5580	Homo sapiens	protein kinase C delta(PRKCD)
Q8NFG4	201163	Homo sapiens	folliculin(FLCN)
O95271	8658	Homo sapiens	tankyrase(TNKS)
Q6P2E9	23644	Homo sapiens	enhancer of mRNA decapping 4(EDC4)
Q9NYU2	56886	Homo sapiens	UDP-glucose glycoprotein glucosyltransferase 1(UGGT1)
Q9UBU8	10933	Homo sapiens	mortality factor 4 like 1(MORF4L1)
P78348	41	Homo sapiens	acid sensing ion channel subunit 1(ASIC1)
O75947	10476	Homo sapiens	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D(ATP5H)
P78344	1982	Homo sapiens	eukaryotic translation initiation factor 4 gamma 2(EIF4G2)
Q9UBU6	51439	Homo sapiens	family with sequence similarity 8 member A1(FAM8A1)
Q96E17	115827	Homo sapiens	RAB3C, member RAS oncogene family(RAB3C)
P46940	8826	Homo sapiens	IQ motif containing GTPase activating protein 1(IQGAP1)
Q9Y6I4	9960	Homo sapiens	ubiquitin specific peptidase 3(USP3)
Q969U6	54461	Homo sapiens	F-box and WD repeat domain containing 5(FBXW5)
Q9Y6I9	51368	Homo sapiens	testis expressed 264(TEX264)
Q5H9R7	55291	Homo sapiens	protein phosphatase 6 regulatory subunit 3(PPP6R3)
P47224	5877	Homo sapiens	RAB interacting factor(RABIF)
Q8N6H7	84364	Homo sapiens	ADP ribosylation factor GTPase activating protein 2(ARFGAP2)
Q9BYB4	54584	Homo sapiens	G protein subunit beta 1 like(GNB1L)
Q08828	107	Homo sapiens	adenylate cyclase 1(ADCY1)
Q6NW29	201965	Homo sapiens	RWD domain containing 4(RWDD4)
P52789	3099	Homo sapiens	hexokinase 2(HK2)
Q96BT7	91801	Homo sapiens	alkB homolog 8, tRNA methyltransferase(ALKBH8)
O15321	10548	Homo sapiens	transmembrane 9 superfamily member 1(TM9SF1)
P57740	57122	Homo sapiens	nucleoporin 107(NUP107)
Q9NXC5	54468	Homo sapiens	meiosis regulator for oocyte development(MIOS)
Q9GZN7	79641	Homo sapiens	rogdi homolog(ROGDI)
Q96Q15	23049	Homo sapiens	SMG1, nonsense mediated mRNA decay associated PI3K related kinase(SMG1)
Q5JPE7	283820	Homo sapiens	NODAL modulator 2(NOMO2)
P22695	7385	Homo sapiens	ubiquinol-cytochrome c reductase core protein II(UQCRC2)
Q6PML9	10463	Homo sapiens	solute carrier family 30 member 9(SLC30A9)
Q96Q11	51095	Homo sapiens	tRNA nucleotidyl transferase 1(TRNT1)
Q969V3	56926	Homo sapiens	nicalin(NCLN)
Q96GW9	92935	Homo sapiens	methionyl-tRNA synthetase 2, mitochondrial(MARS2)
Q9Y6J9	10629	Homo sapiens	TATA-box binding protein associated factor 6 like(TAF6L)
O75896	11334	Homo sapiens	tumor suppressor candidate 2(TUSC2)
Q04837	6742	Homo sapiens	single stranded DNA binding protein 1(SSBP1)
P30926	1143	Homo sapiens	cholinergic receptor nicotinic beta 4 subunit(CHRNB4)
Q8IVH4	166785	Homo sapiens	methylmalonic aciduria (cobalamin deficiency) cblA type(MMAA)
Q96L93	55614	Homo sapiens	kinesin family member 16B(KIF16B)
Q8WXI2	22866	Homo sapiens	connector enhancer of kinase suppressor of Ras 2(CNKSR2)
P21579	6857	Homo sapiens	synaptotagmin 1(SYT1)
Q96L94	79856	Homo sapiens	sorting nexin 22(SNX22)
Q6ZVK8	79873	Homo sapiens	nudix hydrolase 18(NUDT18)
Q8IVH8	8491	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 3(MAP4K3)
Q8NA75	138009	Homo sapiens	DDB1 and CUL4 associated factor 4 like 2(DCAF4L2)
Q9Y6J0	23523	Homo sapiens	calcineurin binding protein 1(CABIN1)
Q7L523	10670	Homo sapiens	Ras related GTP binding A(RRAGA)
Q96H78	9673	Homo sapiens	solute carrier family 25 member 44(SLC25A44)
Q6PJG9	78999	Homo sapiens	leucine rich repeat and fibronectin type III domain containing 4(LRFN4)
Q86XE3	286097	Homo sapiens	mitochondrial calcium uptake family member 3(MICU3)
Q9NXF1	54881	Homo sapiens	testis expressed 10(TEX10)
Q92805	2800	Homo sapiens	golgin A1(GOLGA1)
Q9UKE5	23043	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)
Q92804	8148	Homo sapiens	TATA-box binding protein associated factor 15(TAF15)
P13667	9601	Homo sapiens	protein disulfide isomerase family A member 4(PDIA4)
Q9NQH7	63929	Homo sapiens	X-prolyl aminopeptidase 3(XPNPEP3)
B1AKI9	140862	Homo sapiens	isthmin 1(ISM1)
Q8NE79	11149	Homo sapiens	blood vessel epicardial substance(BVES)
Q9GZL7	55759	Homo sapiens	WD repeat domain 12(WDR12)
P63104	7534	Homo sapiens	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta(YWHAZ)
O15347	3149	Homo sapiens	high mobility group box 3(HMGB3)
P83876	10907	Homo sapiens	thioredoxin like 4A(TXNL4A)
Q9Y6H3	91419	Homo sapiens	ATP23 metallopeptidase and ATP synthase assembly factor homolog(ATP23)
Q9H2M9	25782	Homo sapiens	RAB3 GTPase activating non-catalytic protein subunit 2(RAB3GAP2)
Q8NHV5	730094	Homo sapiens	chromosome 16 open reading frame 52(C16orf52)
O75487	2239	Homo sapiens	glypican 4(GPC4)
Q9UKD1	26205	Homo sapiens	glucocorticoid modulatory element binding protein 2(GMEB2)
O75879	5188	Homo sapiens	glutamyl-tRNA amidotransferase subunit B(GATB)
Q8WXK3	79754	Homo sapiens	ankyrin repeat and SOCS box containing 13(ASB13)
Q96Q07	114781	Homo sapiens	BTB domain containing 9(BTBD9)
Q8WXK4	142689	Homo sapiens	ankyrin repeat and SOCS box containing 12(ASB12)
Q8IVF7	91010	Homo sapiens	formin like 3(FMNL3)
Q96Q05	83696	Homo sapiens	trafficking protein particle complex 9(TRAPPC9)
Q8NA54	154865	Homo sapiens	IQ motif and ubiquitin domain containing(IQUB)
Q96Q06	729359	Homo sapiens	perilipin 4(PLIN4)
P07814	2058	Homo sapiens	glutamyl-prolyl-tRNA synthetase(EPRS)
O75874	3417	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 1, cytosolic(IDH1)
P57737	79585	Homo sapiens	coronin 7(CORO7)
P61201	9318	Homo sapiens	COP9 signalosome subunit 2(COPS2)
Q8TBN0	5866	Homo sapiens	RAB3A interacting protein like 1(RAB3IL1)
O75452	8608	Homo sapiens	retinol dehydrogenase 16 (all-trans)(RDH16)
Q96C92	10807	Homo sapiens	serologically defined colon cancer antigen 3(SDCCAG3)
Q8IZL8	27043	Homo sapiens	proline, glutamate and leucine rich protein 1(PELP1)
Q14192	2274	Homo sapiens	four and a half LIM domains 2(FHL2)
Q66K89	1877	Homo sapiens	E4F transcription factor 1(E4F1)
O75864	284352	Homo sapiens	protein phosphatase 1 regulatory subunit 37(PPP1R37)
Q8TC07	64786	Homo sapiens	TBC1 domain family member 15(TBC1D15)
Q969R2	23762	Homo sapiens	oxysterol binding protein 2(OSBP2)
P46976	2992	Homo sapiens	glycogenin 1(GYG1)
P14735	3416	Homo sapiens	insulin degrading enzyme(IDE)
Q05469	3991	Homo sapiens	lipase E, hormone sensitive type(LIPE)
P46977	3703	Homo sapiens	STT3A, catalytic subunit of the oligosaccharyltransferase complex(STT3A)
P47755	830	Homo sapiens	capping actin protein of muscle Z-line alpha subunit 2(CAPZA2)
Q96PU5	23327	Homo sapiens	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase(NEDD4L)
O15372	8667	Homo sapiens	eukaryotic translation initiation factor 3 subunit H(EIF3H)
O15371	8664	Homo sapiens	eukaryotic translation initiation factor 3 subunit D(EIF3D)
P11413	2539	Homo sapiens	glucose-6-phosphate dehydrogenase(G6PD)
P19338	4691	Homo sapiens	nucleolin(NCL)
A0FGR8	57488	Homo sapiens	extended synaptotagmin 2(ESYT2)
Q8TC12	51109	Homo sapiens	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)(RDH11)
Q13685	14	Homo sapiens	angio associated migratory cell protein(AAMP)
Q8TBP0	125058	Homo sapiens	TBC1 domain family member 16(TBC1D16)
O75431	10651	Homo sapiens	metaxin 2(MTX2)
Q9UKA1	26234	Homo sapiens	F-box and leucine rich repeat protein 5(FBXL5)
P25787	5683	Homo sapiens	proteasome subunit alpha 2(PSMA2)
Q9Y6C9	23788	Homo sapiens	mitochondrial carrier 2(MTCH2)
O75439	9512	Homo sapiens	peptidase, mitochondrial processing beta subunit(PMPCB)
Q86XI6	79660	Homo sapiens	protein phosphatase 1 regulatory subunit 3B(PPP1R3B)
Q96PR1	3747	Homo sapiens	potassium voltage-gated channel subfamily C member 2(KCNC2)
P05165	5095	Homo sapiens	propionyl-CoA carboxylase alpha subunit(PCCA)
P24666	52	Homo sapiens	acid phosphatase 1, soluble(ACP1)
Q9NXA8	23408	Homo sapiens	sirtuin 5(SIRT5)
Q05481	7644	Homo sapiens	zinc finger protein 91(ZNF91)
P51553	3421	Homo sapiens	isocitrate dehydrogenase 3 (NAD(+)) gamma(IDH3G)
Q05086	7337	Homo sapiens	ubiquitin protein ligase E3A(UBE3A)
P00966	445	Homo sapiens	argininosuccinate synthase 1(ASS1)
P51957	6787	Homo sapiens	NIMA related kinase 4(NEK4)
Q6KC79	25836	Homo sapiens	NIPBL, cohesin loading factor(NIPBL)
Q8NDZ6	153396	Homo sapiens	transmembrane protein 161B(TMEM161B)
Q969T9	23558	Homo sapiens	WW domain binding protein 2(WBP2)
O15394	4685	Homo sapiens	neural cell adhesion molecule 2(NCAM2)
Q96Q42	57679	Homo sapiens	ALS2, alsin Rho guanine nucleotide exchange factor(ALS2)
Q96BY7	55102	Homo sapiens	autophagy related 2B(ATG2B)
P13639	1938	Homo sapiens	eukaryotic translation elongation factor 2(EEF2)
P13637	478	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)
Q16531	1642	Homo sapiens	damage specific DNA binding protein 1(DDB1)
P04406	2597	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase(GAPDH)
O43511	5172	Homo sapiens	solute carrier family 26 member 4(SLC26A4)
Q13144	8893	Homo sapiens	eukaryotic translation initiation factor 2B subunit epsilon(EIF2B5)
Q9NWZ3	51135	Homo sapiens	interleukin 1 receptor associated kinase 4(IRAK4)
Q8NDL9	60509	Homo sapiens	ATP/GTP binding protein like 5(AGBL5)
P12268	3615	Homo sapiens	inosine monophosphate dehydrogenase 2(IMPDH2)
Q8IZQ1	23001	Homo sapiens	WD repeat and FYVE domain containing 3(WDFY3)
Q7Z4N2	4308	Homo sapiens	transient receptor potential cation channel subfamily M member 1(TRPM1)
P12271	6017	Homo sapiens	retinaldehyde binding protein 1(RLBP1)
P12270	7175	Homo sapiens	translocated promoter region, nuclear basket protein(TPR)
Q5I0X7	130502	Homo sapiens	tetratricopeptide repeat domain 32(TTC32)
P61247	6189	Homo sapiens	ribosomal protein S3A(RPS3A)
P61978	3190	Homo sapiens	heterogeneous nuclear ribonucleoprotein K(HNRNPK)
Q6ZVD7	219736	Homo sapiens	storkhead box 1(STOX1)
Q16543	11140	Homo sapiens	cell division cycle 37(CDC37)
Q92871	5372	Homo sapiens	phosphomannomutase 1(PMM1)
Q13153	5058	Homo sapiens	p21 (RAC1) activated kinase 1(PAK1)
Q92878	10111	Homo sapiens	RAD50 double strand break repair protein(RAD50)
Q9H6R7	80304	Homo sapiens	WD repeat and coiled coil containing(WDCP)
P17987	6950	Homo sapiens	t-complex 1(TCP1)
P22626	3181	Homo sapiens	heterogeneous nuclear ribonucleoprotein A2/B1(HNRNPA2B1)
Q03701	10153	Homo sapiens	CCAAT/enhancer binding protein zeta(CEBPZ)
Q8IZP0	10006	Homo sapiens	abl interactor 1(ABI1)
Q6NZY4	55596	Homo sapiens	zinc finger CCHC-type containing 8(ZCCHC8)
Q96LA8	55170	Homo sapiens	protein arginine methyltransferase 6(PRMT6)
Q92870	323	Homo sapiens	amyloid beta precursor protein binding family B member 2(APBB2)
P51523	7637	Homo sapiens	zinc finger protein 84(ZNF84)
Q06136	2531	Homo sapiens	3-ketodihydrosphingosine reductase(KDSR)
P52306	5910	Homo sapiens	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)
P53041	5536	Homo sapiens	protein phosphatase 5 catalytic subunit(PPP5C)
Q96PZ0	54517	Homo sapiens	pseudouridylate synthase 7 (putative)(PUS7)
Q13148	23435	Homo sapiens	TAR DNA binding protein(TARDBP)
Q16539	1432	Homo sapiens	mitogen-activated protein kinase 14(MAPK14)
P61962	10238	Homo sapiens	DDB1 and CUL4 associated factor 7(DCAF7)
Q16537	5529	Homo sapiens	protein phosphatase 2 regulatory subunit B'epsilon(PPP2R5E)
O60583	905	Homo sapiens	cyclin T2(CCNT2)
Q16534	3131	Homo sapiens	HLF, PAR bZIP transcription factor(HLF)
Q05932	2356	Homo sapiens	folylpolyglutamate synthase(FPGS)
Q13123	3550	Homo sapiens	IK cytokine, down-regulator of HLA II(IK)
Q9H6U8	79796	Homo sapiens	ALG9, alpha-1,2-mannosyltransferase(ALG9)
Q4G1C9	144321	Homo sapiens	GLI pathogenesis-related 1 like 2(GLIPR1L2)
Q5VXM1	200008	Homo sapiens	CUB domain containing protein 2(CDCP2)
Q4ZIN3	91304	Homo sapiens	transmembrane protein 259(TMEM259)
P51513	4857	Homo sapiens	NOVA alternative splicing regulator 1(NOVA1)
P53004	644	Homo sapiens	biliverdin reductase A(BLVRA)
P54136	5917	Homo sapiens	arginyl-tRNA synthetase(RARS)
Q96GM8	114034	Homo sapiens	target of EGR1, member 1 (nuclear)(TOE1)
P61221	6059	Homo sapiens	ATP binding cassette subfamily E member 1(ABCE1)
P86791	51622	Homo sapiens	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated(CCZ1)
Q96Q83	221120	Homo sapiens	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase(ALKBH3)
Q02742	2650	Homo sapiens	glucosaminyl (N-acetyl) transferase 1, core 2(GCNT1)
Q7L576	23191	Homo sapiens	cytoplasmic FMR1 interacting protein 1(CYFIP1)
Q7Z4L5	79809	Homo sapiens	tetratricopeptide repeat domain 21B(TTC21B)
Q8WXR4	140469	Homo sapiens	myosin IIIB(MYO3B)
Q86WZ6	7770	Homo sapiens	zinc finger protein 227(ZNF227)
Q9BTW9	6904	Homo sapiens	tubulin folding cofactor D(TBCD)
